STATE,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Deaths,Population,Homicide Rate Per 100k
Kansas,21.09428571,3.088571429,19.30380952,9.188571429,9.297142857,20.34285714,23.55809524,15.63714286,4.97047619,1.719047619,17.32666667,3.207619048,7.060952381,1.656190476,4.316190476,3.263809524,0.313641905,0.532705714,0.404807619,0.295039048,0.327441905,127,2937150,4.323919446
Kentucky,30.1325,5.821666667,21.16416667,15.455,6.203333333,18.10083333,22.3375,21.22416667,5.923333333,0.471666667,9.395833333,2.718333333,18.33,2.1525,6.485,2.918333333,0.5798225,0.530445833,0.2201375,0.55206,0.528385,283,4512310,6.271732217
Louisiana,32.4390625,7.1046875,22.571875,16.3390625,7.828125,16.9671875,23.1,17.31875,8.6421875,0.978125,39.471875,3.1921875,21.04375,2.5140625,8.015625,4.7234375,0.72264375,0.695604688,0.752089063,0.720375,0.772585938,740,4590241,16.12115791
Maine,20.825,4.475,24.4625,6.7,8.2875,23.2375,18.1125,17.16875,4.325,0.35,7.575,3.8375,9.34375,1.325,6.7625,2.56875,0.41250625,0.250125,0.17145625,0.50244375,0.341825,19,1385340,1.371504468
Maryland,16.69583333,4.825,24.02083333,8.995833333,4.983333333,18.23333333,21.1,13.05,6.483333333,1.779166667,34.82083333,11.0125,3.141666667,1.75,6.9,3.229166667,0.336445833,0.435216667,0.660670833,0.4545,0.4128125,539,6164660,8.743385686
Massachusetts,15.82857143,5.528571429,27.08571429,7.742857143,3.014285714,19.40714286,18.90714286,12.52857143,5.421428571,3.7,25.95,11.3,0.985714286,1.785714286,9.65,3.5,0.335728571,0.348157143,0.586628571,0.574942857,0.408878571,106,6981974,1.518195284
Michigan,22.45421687,5.795180723,22.10963855,8.259036145,6.077108434,22.41084337,19.49518072,16.7,4.768674699,0.562650602,13.5939759,4.881927711,8.339759036,1.486746988,6.213253012,2.965060241,0.419419277,0.329728916,0.33129759,0.435850602,0.37253012,640,10034113,6.378241903
Minnesota,17.75632184,3.770114943,20.62068966,6.948275862,5.231034483,20.21264368,22.86436782,12.98505747,4.901149425,1.132183908,13.61149425,8.58045977,5.043678161,1.818390805,5.377011494,2.679310345,0.194632184,0.375085057,0.342406897,0.470658621,0.278944828,143,5717184,2.501231375
Mississippi,34.96585366,7.097560976,23.97317073,16.77926829,12.58170732,17.7695122,22.91829268,19.36097561,8.697560976,0.596341463,46.88658537,2.863414634,19.64756098,2.258536585,7.148780488,3.93902439,0.834560976,0.68602561,0.790479268,0.634428049,0.806720732,511,2940057,17.38061541
Missouri,26.00521739,4.300869565,21.31217391,11.5973913,11.76695652,19.84086957,22.48086957,17.63043478,5.206956522,0.5,11.35565217,3.228695652,11.13652174,1.959130435,5.953913043,3.291304348,0.55738087,0.458208696,0.268126087,0.457022609,0.471745217,629,6177957,10.18135931
Montana,23.69464286,3.866071429,21.25178571,7.108928571,9.514285714,22.94285714,21.175,15.83035714,3.835714286,0.210714286,15.73928571,3.333928571,12.7875,1.953571429,4.569642857,2.923214286,0.357873214,0.262192857,0.345557143,0.425801786,0.3131,39,1122867,3.473251952
Nebraska,19.15376344,2.315053763,18.4655914,7.872043011,7.917204301,22.20215054,23.13333333,14.26666667,4.179569892,1.461290323,12.8344086,3.430107527,6.253763441,1.675268817,3.832258065,2.374193548,0.210731183,0.46292043,0.295449462,0.231724731,0.224275269,48,1967923,2.439119823
Nevada,20.37647059,5.776470588,22.32352941,11.44705882,9.2,21.48823529,20.52941176,17.15294118,5.870588235,2.029411765,31.92941176,5.047058824,23.99411765,2.794117647,5.629411765,4.352941176,0.527641176,0.612982353,0.673670588,0.550247059,0.586905882,180,3177772,5.664345963
New Hampshire,14.73,3.61,26.02,6.81,6.33,21.28,17.58,14.69,4.19,0.5,9.01,7.96,6.92,1.32,5,3.68,0.26001,0.10439,0.22207,0.46985,0.20605,18,1395231,1.29010895
New Jersey,15.38571429,6.276190476,27.42857143,9.014285714,6.757142857,17.43809524,21.36190476,11.2952381,5.647619048,5,40.65714286,13.67619048,1.314285714,2.847619048,9.485714286,2.138095238,0.468080952,0.384661905,0.740142857,0.559295238,0.509885714,235,9261699,2.537331433
